Latitude ,Longitude ,Month,Day,Year,#/km2,Microplastics #/km^2,Macroplastics # /km^2,Total Wieght (g)/km^2,Microplastics Weight (g)/ km^2,Macroplastics Weight (g) /km^2,Source,Notes,Mesh Size,Conc
42,-66.48,5,18,1992,0,,,,,,SEA Education,Not adjusted,333um,42-66.4851819920SEA EducationNot adjusted333um
42,-66.48,5,18,1992,0,,,,,,SEA Education,Not adjusted,333um,42-66.4851819920SEA EducationNot adjusted333um
42.58,-65.77,5,19,1992,0,,,,,,SEA Education,Not adjusted,333um,42.58-65.7751919920SEA EducationNot adjusted333um
42.58,-65.77,5,19,1992,0,,,,,,SEA Education,Not adjusted,333um,42.58-65.7751919920SEA EducationNot adjusted333um
42.66,-64.39,5,20,1992,540,,,,,,SEA Education,Not adjusted,333um,42.66-64.395201992540SEA EducationNot adjusted333um
42.66,-64.39,5,20,1992,540,,,,,,SEA Education,Not adjusted,333um,42.66-64.395201992540SEA EducationNot adjusted333um
42.78,-66.57,5,23,1992,0,,,,,,SEA Education,Not adjusted,333um,42.78-66.5752319920SEA EducationNot adjusted333um
42.78,-66.57,5,23,1992,0,,,,,,SEA Education,Not adjusted,333um,42.78-66.5752319920SEA EducationNot adjusted333um
43.18,-67.98,5,24,1992,0,,,,,,SEA Education,Not adjusted,333um,43.18-67.9852419920SEA EducationNot adjusted333um
43.18,-67.98,5,24,1992,0,,,,,,SEA Education,Not adjusted,333um,43.18-67.9852419920SEA EducationNot adjusted333um
